Name,Team,Year,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Swen Nater,SDC,1980,5.5,9.9,.554,0.0,0.0,.000,5.5,9.8,.556,2.4,3.4,.718,4.3,10.7,2.9,0.6,0.5,3.2,3.2,13.4
Calvin Natt,TOT,1980,8.0,16.6,.479,0.0,0.1,.333,7.9,16.5,.480,3.9,5.4,.730,3.1,5.8,2.2,1.3,0.4,2.5,2.6,19.9
Mike Newlin,NJN,1980,7.8,17.0,.460,0.6,1.9,.296,7.3,15.1,.481,4.7,5.3,.884,1.3,2.1,4.0,1.5,0.1,3.0,2.5,20.9
Norm Nixon,LAL,1980,7.6,14.7,.516,0.0,0.1,.125,7.6,14.6,.519,2.4,3.1,.779,0.6,2.2,7.8,1.8,0.2,3.5,2.9,17.6
Sylvester Norris,SAS,1980,1.1,2.5,.419,0.0,0.0,,1.1,2.5,.419,0.2,0.4,.667,0.6,1.9,0.4,0.2,0.7,1.1,2.4,2.4
Mark Olberding,SAS,1980,3.9,8.1,.478,0.0,0.0,.000,3.9,8.1,.480,2.8,3.5,.795,1.1,4.5,4.4,0.9,0.3,2.4,3.7,10.6
John Olive,SDC,1980,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
Tom Owens,POR,1980,6.8,13.3,.514,0.0,0.0,.500,6.8,13.2,.514,2.8,3.7,.753,2.5,5.1,2.6,0.6,0.7,2.3,3.6,16.4
Robert Parish*,GSW,1980,7.1,14.0,.507,0.0,0.0,.000,7.1,14.0,.507,2.8,3.9,.715,3.4,7.4,1.7,0.8,1.6,3.1,3.4,17.0
Sonny Parker,GSW,1980,5.9,12.0,.489,0.0,0.0,.000,5.9,12.0,.490,2.9,3.7,.785,2.0,3.6,3.1,2.1,0.4,2.0,2.4,14.7
Billy Paultz,TOT,1980,3.9,8.0,.486,0.0,0.0,.000,3.9,8.0,.487,1.3,2.2,.599,2.2,4.8,2.2,0.8,1.0,1.4,2.5,9.1
Jim Paxson,POR,1980,2.6,6.4,.411,0.0,0.3,.045,2.6,6.1,.429,0.9,1.3,.711,0.3,1.2,2.0,0.7,0.1,1.3,1.3,6.2
Wiley Peck,SAS,1980,1.4,3.3,.432,0.0,0.0,.000,1.4,3.2,.437,0.7,1.1,.618,1.3,2.3,0.6,0.3,0.4,0.9,1.9,3.5
Sam Pellom,ATL,1980,1.0,2.5,.407,0.0,0.0,,1.0,2.5,.407,0.5,0.7,.700,0.6,1.5,0.4,0.3,0.3,0.4,1.6,2.5
Roger Phegley,TOT,1980,4.5,9.4,.477,0.1,0.1,.444,4.4,9.3,.478,2.3,2.6,.872,1.0,1.4,1.3,0.4,0.1,1.5,2.0,11.3
Stan Pietkiewicz,SDC,1980,1.8,3.6,.508,0.2,0.7,.250,1.6,2.9,.573,0.7,0.9,.804,0.5,0.4,1.9,0.5,0.1,1.0,1.0,4.6
Ben Poquette,UTA,1980,3.6,6.9,.523,0.0,0.0,.000,3.6,6.9,.525,1.7,2.0,.832,1.5,5.3,1.6,0.5,2.0,1.3,3.5,8.9
Kevin Porter,WSB,1980,2.9,6.3,.459,0.0,0.1,.000,2.9,6.2,.463,1.6,2.0,.803,0.4,0.8,6.5,0.8,0.2,2.3,2.6,7.3
Clifford Ray,GSW,1980,2.5,4.7,.530,0.0,0.0,.000,2.5,4.7,.533,1.0,1.8,.564,1.5,4.2,2.3,0.6,0.4,1.9,3.3,6.0
Marlon Redmond,KCK,1980,2.5,5.8,.428,0.0,0.4,.000,2.5,5.4,.457,1.0,1.4,.706,0.8,1.4,0.8,0.2,0.4,0.8,1.1,5.9
Robert Reid,HOU,1980,5.5,11.3,.487,0.0,0.0,.000,5.5,11.3,.488,2.0,2.7,.736,1.8,4.0,3.2,1.7,0.8,2.2,3.7,13.0
Kevin Restani,SAS,1980,4.5,8.9,.508,0.1,0.4,.172,4.4,8.5,.521,1.6,2.0,.814,1.7,3.0,2.3,0.7,0.1,1.6,2.3,10.7
Clint Richardson,PHI,1980,3.1,6.7,.457,0.0,0.1,.333,3.0,6.6,.458,0.5,0.9,.622,1.1,1.3,2.1,0.5,0.3,1.2,1.9,6.7
Micheal Ray Richardson,NYK,1980,6.1,13.0,.472,0.3,1.3,.245,5.8,11.6,.498,2.7,4.1,.660,1.8,4.7,10.1,3.2,0.4,4.4,3.2,15.3
Anthony Roberts,DEN,1980,3.0,7.9,.381,0.0,0.0,.000,3.0,7.8,.383,1.7,2.6,.650,2.3,2.4,0.9,0.6,0.1,1.2,2.3,7.7
Rick Robey,BOS,1980,4.6,8.9,.521,0.0,0.0,.000,4.6,8.9,.522,2.2,3.3,.684,2.5,3.9,1.1,0.6,0.2,1.8,3.0,11.5
Cliff Robinson,NJN,1980,5.6,11.9,.469,0.0,0.1,.250,5.6,11.8,.470,2.4,3.5,.694,2.5,4.7,1.4,0.9,0.5,2.0,2.5,13.6
Jackie Robinson,DET,1980,1.3,2.4,.529,0.0,0.1,.000,1.3,2.3,.563,1.3,1.6,.818,0.4,0.3,0.0,0.4,0.4,0.3,1.1,3.9
Truck Robinson,PHO,1980,6.6,13.0,.512,0.0,0.0,,6.6,13.0,.512,4.0,5.9,.667,2.6,6.8,1.7,0.7,0.7,3.1,3.2,17.3
Bill Robinzine,KCK,1980,4.5,8.9,.501,0.0,0.0,.500,4.5,8.9,.501,2.5,3.4,.730,2.3,4.2,0.8,1.3,0.3,1.8,3.8,11.4
Dave Robisch,CLE,1980,6.0,11.5,.520,0.0,0.0,.000,6.0,11.4,.522,3.4,4.0,.842,2.7,5.3,2.3,0.6,0.6,1.7,2.6,15.3
John Roche,DEN,1980,4.3,9.0,.478,0.6,1.6,.380,3.7,7.5,.498,2.1,2.5,.866,0.3,1.1,4.9,1.0,0.1,1.9,1.7,11.4
Tree Rollins,ATL,1980,3.5,6.3,.558,0.0,0.0,,3.5,6.3,.558,1.9,2.7,.714,3.5,6.0,0.9,0.7,3.0,1.2,3.9,8.9
Dan Roundfield,ATL,1980,6.2,12.4,.499,0.0,0.0,.000,6.2,12.4,.500,4.1,5.7,.710,3.6,6.7,2.3,1.2,1.7,2.9,3.9,16.5
Campy Russell,CLE,1980,6.9,15.4,.451,0.0,0.2,.111,6.9,15.1,.456,4.3,5.8,.745,1.9,3.6,4.2,1.8,0.5,3.6,2.8,18.2
Alvin Scott,PHO,1980,1.6,3.8,.422,0.0,0.0,.333,1.6,3.8,.423,1.2,1.5,.779,1.1,1.8,1.2,0.6,0.7,1.2,1.3,4.4
Charlie Scott*,DEN,1980,4.0,10.0,.401,0.0,0.2,.182,4.0,9.8,.405,1.2,1.7,.720,0.7,1.7,3.6,0.7,0.3,2.4,2.9,9.3
Lonnie Shelton,SEA,1980,5.6,10.6,.530,0.0,0.1,.200,5.6,10.5,.532,2.4,3.2,.763,2.6,5.0,1.9,1.2,1.0,2.2,3.8,13.6
