Name,Team,Year,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Kurt Rambis,LAL,1984,1.3,2.4,.558,0.0,0.0,,1.3,2.4,.558,0.9,1.4,.636,1.7,3.9,0.7,0.6,0.3,1.2,2.3,3.6
Kelvin Ransey,NJN,1984,3.8,8.8,.434,0.1,0.4,.219,3.7,8.4,.445,1.8,2.3,.792,0.4,1.2,6.0,1.1,0.1,1.8,2.3,9.5
Leo Rautins,PHI,1984,0.8,2.1,.362,0.0,0.0,,0.8,2.1,.362,0.2,0.4,.600,0.3,0.9,1.0,0.3,0.1,0.7,1.1,1.7
Robert Reid,HOU,1984,6.3,13.4,.474,0.0,0.1,.250,6.3,13.3,.476,1.3,1.9,.659,1.5,3.8,3.4,1.4,0.5,1.4,3.8,14.0
Clint Richardson,PHI,1984,3.2,6.9,.467,0.0,0.1,.000,3.2,6.8,.471,1.1,1.5,.767,0.9,1.5,2.2,0.7,0.3,1.4,2.1,7.6
Micheal Ray Richardson,NJN,1984,5.1,11.0,.460,0.3,1.2,.241,4.8,9.8,.487,1.6,2.3,.704,1.2,2.4,4.5,2.1,0.4,2.5,3.3,12.0
Doc Rivers,ATL,1984,3.1,6.7,.462,0.0,0.1,.167,3.1,6.5,.469,3.1,4.0,.785,0.9,1.8,3.9,1.6,0.4,2.1,3.5,9.3
Anthony Roberts,DEN,1984,1.8,4.8,.374,0.0,0.0,,1.8,4.8,.374,0.7,0.9,.722,1.1,1.6,0.7,0.3,0.1,0.9,2.3,4.3
Fred Roberts,SAS,1984,2.7,5.1,.536,0.0,0.1,.250,2.7,5.0,.539,1.8,2.2,.837,1.3,2.6,1.2,0.7,0.5,1.3,2.8,7.3
Rick Robey,PHO,1984,2.3,4.2,.545,0.0,0.0,1.000,2.3,4.2,.543,1.0,1.4,.693,1.3,1.9,1.1,0.3,0.2,1.3,2.0,5.6
Cliff Robinson,CLE,1984,7.3,16.2,.450,0.0,0.0,.500,7.3,16.2,.450,3.2,4.6,.701,2.1,8.2,2.5,0.7,0.4,2.6,2.7,17.8
Truck Robinson,NYK,1984,4.4,8.9,.489,0.0,0.0,,4.4,8.9,.489,2.0,3.2,.646,2.6,5.8,1.4,0.7,0.4,2.5,3.3,10.8
Dave Robisch,TOT,1984,1.1,3.1,.365,0.0,0.0,,1.1,3.1,.365,0.7,0.8,.846,0.5,1.4,0.6,0.1,0.1,0.4,1.2,3.0
Tree Rollins,ATL,1984,3.6,6.9,.518,0.0,0.0,,3.6,6.9,.518,1.5,2.5,.621,2.6,5.1,0.8,0.5,3.6,1.3,3.9,8.6
Lorenzo Romar,TOT,1984,2.4,5.2,.459,0.1,0.5,.121,2.3,4.7,.494,1.0,1.4,.713,0.3,1.1,2.8,0.8,0.1,0.9,1.1,5.8
Dan Roundfield,ATL,1984,6.9,14.2,.485,0.0,0.2,.000,6.9,14.1,.490,5.1,6.7,.770,2.8,7.1,2.5,0.8,1.0,2.8,3.0,18.9
Jeff Ruland,WSB,1984,8.0,13.8,.579,0.0,0.1,.143,8.0,13.7,.582,6.2,8.5,.733,3.5,8.8,3.9,0.9,1.0,4.6,3.8,22.2
Walker Russell,DET,1984,0.9,2.6,.333,0.1,0.1,.500,0.8,2.5,.325,0.8,0.8,.923,0.4,0.8,1.4,0.3,0.0,0.6,1.6,2.6
Ralph Sampson*,HOU,1984,8.7,16.7,.523,0.0,0.0,.250,8.7,16.6,.524,3.5,5.3,.661,3.6,7.6,2.0,0.9,2.4,3.6,4.1,21.0
Mike Sanders,PHO,1984,1.9,4.1,.478,0.0,0.0,,1.9,4.1,.478,0.6,0.8,.690,0.8,1.3,0.9,0.5,0.2,0.9,2.0,4.5
DeWayne Scales,WSB,1984,1.5,2.5,.600,0.0,0.0,,1.5,2.5,.600,0.0,1.0,.000,0.0,1.5,0.0,0.5,0.0,1.0,0.5,3.0
Danny Schayes,DEN,1984,2.2,4.5,.493,0.0,0.0,.000,2.2,4.5,.496,2.6,3.3,.790,1.8,3.5,1.1,0.4,0.7,1.5,3.8,7.1
Alvin Scott,PHO,1984,0.8,1.9,.444,0.0,0.0,.500,0.8,1.9,.443,0.9,1.1,.778,0.4,1.1,0.7,0.3,0.3,0.6,1.3,2.6
Byron Scott,LAL,1984,4.5,9.3,.484,0.1,0.5,.235,4.4,8.9,.497,1.5,1.9,.806,0.7,1.5,2.4,1.1,0.3,1.6,2.4,10.6
Lonnie Shelton,CLE,1984,4.7,9.9,.476,0.0,0.1,.200,4.7,9.8,.478,1.4,1.8,.764,1.8,3.1,2.3,1.0,0.7,2.1,3.5,10.8
Purvis Short,GSW,1984,9.0,19.1,.473,0.3,0.9,.306,8.8,18.2,.482,4.5,5.6,.793,2.3,3.2,3.1,1.3,0.1,2.9,3.2,22.8
Jerry Sichting,IND,1984,5.0,9.3,.532,0.1,0.3,.300,4.9,9.1,.539,1.5,1.7,.867,0.6,1.6,5.7,1.1,0.1,1.8,2.2,11.5
Jack Sikma*,SEA,1984,7.0,14.1,.499,0.0,0.0,.000,7.0,14.1,.500,5.0,5.9,.856,2.7,8.4,4.0,1.2,1.1,2.9,3.7,19.1
Derek Smith,SDC,1984,3.9,7.1,.546,0.0,0.1,.167,3.9,7.0,.551,2.0,2.7,.755,0.9,1.9,1.3,0.5,0.4,1.3,2.7,9.8
Larry Smith,GSW,1984,3.3,5.8,.560,0.0,0.0,,3.3,5.8,.560,1.3,2.2,.560,3.8,5.2,1.0,0.8,0.3,1.7,3.7,7.8
Ricky Sobers,WSB,1984,6.3,13.8,.456,0.4,1.4,.261,5.9,12.4,.477,2.7,3.3,.837,0.6,1.6,4.7,1.4,0.2,2.7,3.4,15.6
Jim Spanarkel,DAL,1984,1.0,2.3,.438,0.1,0.3,.500,0.9,2.0,.429,1.3,1.9,.692,0.7,0.3,0.7,0.9,0.0,0.6,1.1,3.4
Rory Sparrow,NYK,1984,4.4,9.3,.474,0.1,0.5,.256,4.3,8.8,.486,1.4,1.7,.824,0.6,1.8,6.8,1.3,0.1,2.7,2.9,10.4
Larry Spriggs,LAL,1984,1.2,2.2,.537,0.0,0.1,.000,1.2,2.1,.550,0.9,1.3,.720,0.4,1.2,0.8,0.3,0.1,0.9,1.4,3.3
Brook Steppe,IND,1984,2.4,5.1,.471,0.0,0.0,.000,2.4,5.1,.476,2.2,2.6,.832,0.7,1.3,1.3,0.6,0.1,1.4,1.5,7.0
Steve Stipanovich,IND,1984,4.8,10.1,.480,0.0,0.2,.188,4.8,9.9,.486,2.3,3.0,.753,1.4,5.5,2.1,0.9,0.8,2.0,3.7,12.0
Jon Sundvold,SEA,1984,3.0,6.7,.445,0.1,0.5,.243,2.8,6.2,.461,0.9,1.0,.889,0.3,0.9,3.3,0.4,0.0,1.1,1.1,6.9
Dane Suttle,KCK,1984,2.7,5.4,.509,0.0,0.1,.000,2.7,5.3,.517,1.0,1.2,.851,0.5,0.6,1.2,0.5,0.0,0.8,1.2,6.5
Terry Teagle,HOU,1984,2.2,4.6,.470,0.1,0.4,.259,2.1,4.2,.490,0.5,0.6,.841,0.4,0.7,0.9,0.2,0.1,0.9,1.2,5.0
Reggie Theus,TOT,1984,4.3,10.2,.419,0.1,0.7,.167,4.2,9.6,.437,3.5,4.6,.762,0.8,1.3,5.8,0.8,0.2,2.6,2.8,12.2
David Thirdkill,DET,1984,0.7,1.6,.431,0.0,0.0,.000,0.7,1.5,.437,0.3,0.7,.484,0.2,0.5,0.6,0.2,0.1,0.4,1.0,1.7
Isiah Thomas*,DET,1984,8.2,17.7,.462,0.3,0.8,.338,7.9,16.9,.468,4.7,6.5,.733,1.3,2.7,11.1,2.5,0.4,3.7,4.0,21.3
Jim Thomas,IND,1984,2.6,5.6,.464,0.0,0.2,.091,2.6,5.4,.474,1.1,1.5,.727,0.8,1.3,1.8,0.8,0.1,1.0,1.6,6.3
David Thompson*,SEA,1984,4.7,8.7,.539,0.0,0.1,.000,4.7,8.6,.543,3.3,3.8,.849,0.9,1.4,0.7,0.5,0.7,1.4,1.6,12.6
LaSalle Thompson,KCK,1984,4.2,8.0,.523,0.0,0.0,,4.2,8.0,.523,2.0,2.8,.717,3.3,5.6,1.1,0.9,1.8,2.1,4.1,10.3
Mychal Thompson,POR,1984,6.2,11.8,.524,0.0,0.0,.000,6.2,11.7,.525,3.4,5.1,.667,3.0,5.7,3.9,1.1,1.4,3.0,3.0,15.7
Paul Thompson,CLE,1984,3.8,8.1,.467,0.1,0.5,.231,3.7,7.6,.482,1.4,1.8,.772,1.5,2.3,1.5,0.9,0.5,0.9,2.3,9.0
Sedale Threatt,PHI,1984,1.4,3.3,.419,0.0,0.2,.125,1.4,3.1,.436,0.5,0.6,.821,0.4,0.5,0.9,0.3,0.0,0.7,1.4,3.3
Darren Tillis,GSW,1984,1.5,3.5,.425,0.0,0.0,.000,1.5,3.5,.429,0.6,0.9,.651,1.0,1.5,0.3,0.2,0.8,0.7,2.4,3.6
Ray Tolbert,DET,1984,1.3,2.5,.529,0.0,0.0,.000,1.3,2.4,.533,0.5,0.9,.511,0.9,1.1,0.5,0.2,0.4,0.5,1.8,3.1
Andrew Toney,PHI,1984,7.6,14.4,.527,0.2,0.5,.316,7.4,13.9,.534,5.0,6.0,.839,0.7,1.7,4.8,0.9,0.3,3.8,3.2,20.4
Linton Townes,TOT,1984,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,0.0,0.0,,0.0,0.3,0.3,0.3,0.5,0.3,1.0,2.0
Kelly Tripucka,DET,1984,7.8,17.1,.459,0.0,0.2,.118,7.8,16.8,.464,5.6,6.9,.815,1.6,2.5,3.0,0.9,0.2,2.5,2.5,21.3
Trent Tucker,NYK,1984,3.6,7.1,.500,0.1,0.3,.375,3.5,6.9,.505,0.4,0.5,.758,0.7,1.4,2.2,1.0,0.1,0.9,2.0,7.6
Elston Turner,DAL,1984,1.1,3.2,.360,0.0,0.2,.111,1.1,3.0,.376,0.6,0.7,.824,0.9,1.1,1.3,0.6,0.0,0.6,0.9,2.9
Terry Tyler,DET,1984,3.8,8.4,.453,0.0,0.2,.154,3.8,8.3,.459,1.1,1.6,.712,1.3,2.2,0.9,0.8,0.7,1.0,1.8,8.8
Darnell Valentine,POR,1984,3.7,8.3,.447,0.0,0.0,.000,3.7,8.2,.450,2.9,3.6,.789,0.7,1.1,5.8,1.6,0.1,2.2,2.6,10.2
Kiki Vandeweghe,DEN,1984,11.5,20.6,.558,0.1,0.4,.367,11.3,20.2,.562,6.3,7.4,.852,1.1,3.7,3.1,0.7,0.6,2.0,2.4,29.4
Pete Verhoeven,POR,1984,1.2,2.3,.500,0.0,0.0,.000,1.2,2.3,.505,0.4,0.6,.680,0.6,0.8,0.5,0.5,0.3,0.5,1.7,2.7
Jay Vincent,DAL,1984,4.1,9.5,.435,0.0,0.0,.000,4.1,9.5,.436,2.8,3.5,.781,1.3,2.7,1.9,0.5,0.2,1.9,2.6,11.0
Danny Vranes,SEA,1984,3.2,6.2,.521,0.0,0.0,.000,3.2,6.2,.522,1.9,3.0,.648,1.9,3.1,1.7,0.6,0.7,1.5,3.3,8.4
Granville Waiters,IND,1984,1.6,3.1,.517,0.0,0.0,.000,1.6,3.0,.519,0.4,0.7,.608,0.8,2.1,0.8,0.3,1.1,0.8,2.1,3.6
Darrell Walker,NYK,1984,2.6,6.3,.417,0.0,0.2,.267,2.6,6.1,.421,2.5,3.2,.791,0.9,1.1,3.5,1.5,0.2,2.4,2.5,7.9
Foots Walker,NJN,1984,0.9,2.6,.356,0.1,0.1,.400,0.9,2.5,.353,0.7,0.8,.889,0.2,0.7,2.4,0.6,0.1,0.9,1.1,2.6
Wally Walker,HOU,1984,2.0,4.2,.490,0.0,0.1,.333,2.0,4.1,.494,0.1,0.3,.333,0.4,1.1,0.9,0.3,0.1,0.6,1.1,4.2
Bill Walton*,SDC,1984,5.2,9.4,.556,0.0,0.0,.000,5.2,9.4,.558,1.7,2.8,.597,2.4,6.3,3.3,0.8,1.6,3.2,2.8,12.1
Bryan Warrick,WSB,1984,0.8,2.1,.409,0.0,0.1,.333,0.8,2.0,.413,0.3,0.5,.500,0.2,0.5,1.3,0.3,0.1,0.6,1.2,2.0
Marvin Webster,NYK,1984,1.5,3.1,.469,0.0,0.0,,1.5,3.1,.469,0.9,1.5,.564,1.9,2.9,0.7,0.4,1.3,1.1,2.5,3.8
Scott Wedman,BOS,1984,2.2,4.9,.444,0.0,0.2,.154,2.1,4.7,.456,0.4,0.5,.829,0.6,1.4,1.0,0.4,0.1,0.6,1.6,4.8
Brant Weidner,SAS,1984,0.3,1.1,.222,0.0,0.0,,0.3,1.1,.222,0.5,0.5,1.000,0.5,0.9,0.0,0.0,0.3,0.3,0.6,1.0
Mark West,DAL,1984,0.4,1.2,.357,0.0,0.0,,0.4,1.2,.357,0.2,0.6,.318,0.6,0.8,0.4,0.0,0.4,0.4,1.6,1.1
Paul Westphal*,PHO,1984,2.4,5.3,.460,0.1,0.4,.269,2.3,4.9,.477,2.0,2.4,.824,0.1,0.6,2.5,0.7,0.1,1.3,1.2,7.0
Ennis Whatley,CHI,1984,3.3,7.0,.469,0.0,0.0,.000,3.3,6.9,.471,1.8,2.5,.730,0.8,1.7,8.3,1.5,0.2,3.4,2.8,8.4
Rory White,TOT,1984,2.2,4.7,.471,0.0,0.0,,2.2,4.7,.471,0.7,1.3,.553,1.0,1.0,0.4,0.4,0.1,0.7,0.9,5.2
Jerome Whitehead,SDC,1984,2.1,4.2,.490,0.0,0.0,,2.1,4.2,.490,1.3,1.5,.822,1.3,2.2,0.3,0.2,0.2,0.8,2.3,5.4
Mitchell Wiggins,CHI,1984,4.9,10.9,.448,0.1,0.4,.241,4.8,10.5,.455,2.6,3.5,.742,1.7,2.3,2.3,1.3,0.1,1.7,3.4,12.4
Jamaal Wilkes*,LAL,1984,7.2,14.1,.514,0.0,0.1,.250,7.2,14.0,.516,2.8,3.7,.743,1.7,2.8,2.9,1.0,0.5,1.8,2.7,17.3
Dominique Wilkins*,ATL,1984,8.4,17.6,.479,0.0,0.1,.000,8.4,17.5,.482,4.7,6.1,.770,3.1,4.0,1.6,1.4,1.1,2.7,2.4,21.6
Jeff Wilkins,UTA,1984,3.1,6.4,.479,0.0,0.0,.000,3.1,6.4,.482,1.7,2.2,.736,1.3,4.3,0.9,0.3,0.5,1.3,2.5,7.8
Buck Williams,NJN,1984,6.1,11.4,.535,0.0,0.0,.000,6.1,11.4,.537,3.5,6.1,.570,4.4,8.0,1.6,1.0,1.5,2.9,3.7,15.7
Gus Williams,SEA,1984,7.5,16.3,.458,0.1,0.3,.160,7.4,16.0,.464,3.7,5.0,.750,0.8,1.7,8.4,2.4,0.3,2.9,1.9,18.7
Herb Williams,IND,1984,6.0,12.5,.478,0.0,0.1,.000,6.0,12.4,.480,3.0,4.3,.702,2.2,5.8,3.1,0.9,1.6,3.0,2.8,14.9
Kevin Williams,SAS,1984,1.3,3.1,.431,0.0,0.1,.000,1.3,3.0,.439,1.3,1.7,.781,0.2,0.5,2.3,0.4,0.2,1.2,2.2,3.9
Ray Williams,NYK,1984,5.5,12.4,.445,0.3,1.1,.309,5.2,11.3,.458,3.5,4.2,.827,0.9,2.6,5.9,2.1,0.3,2.9,3.6,14.8
Rob Williams,DEN,1984,3.9,8.5,.461,0.2,0.6,.319,3.7,7.9,.471,2.2,2.6,.818,0.7,1.8,5.9,1.1,0.1,2.1,3.4,10.2
Sam Williams,TOT,1984,2.6,5.6,.473,0.0,0.0,.000,2.6,5.6,.474,1.2,1.8,.657,1.6,2.8,0.8,0.9,1.4,1.3,2.7,6.5
Sly Williams,ATL,1984,2.6,8.8,.298,0.1,0.7,.111,2.5,8.1,.314,2.8,3.5,.783,1.5,2.4,1.2,1.1,0.1,1.4,2.5,8.1
Bill Willoughby,NJN,1984,1.9,3.9,.481,0.0,0.1,.000,1.9,3.7,.494,0.8,0.9,.873,1.1,1.8,0.8,0.3,0.4,0.8,1.6,4.5
Michael Wilson,WSB,1984,0.0,0.3,.000,0.0,0.2,.000,0.0,0.2,.000,0.2,0.3,.500,0.2,0.0,0.5,0.0,0.0,0.5,0.8,0.2
Randy Wittman,ATL,1984,2.1,4.1,.503,0.0,0.1,.400,2.0,4.0,.505,0.4,0.6,.609,0.2,0.7,0.9,0.2,0.0,0.4,1.1,4.5
Al Wood,SEA,1984,5.8,11.7,.494,0.0,0.3,.143,5.7,11.4,.502,2.8,3.3,.823,1.2,2.2,2.0,0.8,0.4,1.6,2.6,14.3
Mike Woodson,KCK,1984,5.5,11.5,.477,0.0,0.1,.250,5.5,11.4,.479,3.5,4.3,.818,0.9,1.6,2.5,1.2,0.4,1.6,2.5,14.5
Orlando Woolridge,CHI,1984,7.6,14.5,.525,0.0,0.0,.500,7.6,14.5,.525,4.0,5.7,.715,1.7,3.2,1.8,0.9,0.8,2.5,3.4,19.3
James Worthy*,LAL,1984,6.0,10.9,.556,0.0,0.1,.000,6.0,10.8,.560,2.4,3.1,.759,1.9,4.4,2.5,0.9,0.9,2.2,3.0,14.5
Kareem Abdul-Jabbar*,LAL,1985,9.2,15.3,.599,0.0,0.0,.000,9.2,15.3,.600,3.7,5.0,.732,2.1,5.8,3.2,0.8,2.1,2.5,3.0,22.0
Alvan Adams,PHO,1985,5.8,11.2,.520,0.0,0.0,,5.8,11.2,.520,3.0,3.5,.883,1.9,4.2,3.8,1.4,0.6,2.4,3.1,14.7
Mark Aguirre,DAL,1985,9.9,19.6,.506,0.3,1.1,.318,9.6,18.6,.517,5.5,7.3,.759,2.4,3.6,3.1,0.8,0.3,3.2,3.1,25.7
Danny Ainge,BOS,1985,5.6,10.6,.529,0.2,0.7,.268,5.4,9.8,.549,1.6,1.8,.868,1.0,2.6,5.3,1.6,0.1,2.0,3.0,12.9
Chuck Aleksinas,GSW,1985,2.2,4.6,.478,0.0,0.0,.000,2.2,4.5,.479,0.7,1.0,.733,1.2,2.5,0.5,0.2,0.2,1.0,2.3,5.1
J.J. Anderson,UTA,1985,1.4,3.4,.409,0.0,0.0,.000,1.4,3.3,.415,0.6,1.0,.600,0.7,1.2,0.5,0.7,0.2,0.7,1.6,3.4
Ron Anderson,CLE,1985,2.3,5.4,.431,0.0,0.1,.500,2.3,5.4,.430,1.1,1.4,.820,1.1,1.4,0.9,0.3,0.2,0.9,1.1,5.8
John Bagley,CLE,1985,4.2,8.6,.488,0.0,0.3,.115,4.1,8.2,.502,1.5,2.1,.749,0.7,2.9,8.6,1.6,0.1,2.6,1.6,9.9
James Bailey,NYK,1985,2.1,4.7,.447,0.0,0.0,.000,2.1,4.7,.448,1.0,1.5,.676,1.6,3.0,0.5,0.4,0.7,1.4,3.9,5.2
Thurl Bailey,UTA,1985,6.3,12.9,.490,0.0,0.0,1.000,6.3,12.9,.490,2.5,2.9,.842,1.9,4.7,1.7,0.6,1.3,1.9,2.7,15.2
Greg Ballard,WSB,1985,5.7,11.9,.480,0.2,0.6,.304,5.5,11.4,.488,1.5,1.8,.795,1.8,4.6,2.5,1.2,0.4,1.3,2.7,13.1
Gene Banks,SAS,1985,3.5,6.0,.586,0.0,0.0,.333,3.5,6.0,.588,2.4,3.1,.774,1.6,3.8,2.9,0.8,0.2,1.7,2.7,9.5
Ken Bannister,NYK,1985,2.8,5.9,.470,0.0,0.0,,2.8,5.9,.470,1.2,2.6,.474,1.4,3.0,0.5,0.5,0.5,1.9,3.7,6.8
Charles Barkley*,PHI,1985,5.2,9.5,.545,0.0,0.1,.167,5.2,9.5,.548,3.6,4.9,.733,3.2,5.3,1.9,1.2,1.0,2.5,3.7,14.0
Kent Benson,DET,1985,2.8,5.5,.506,0.0,0.0,.000,2.8,5.5,.510,1.1,1.3,.809,1.4,3.1,1.3,0.7,0.6,0.9,2.9,6.6
Larry Bird*,BOS,1985,11.5,22.0,.522,0.7,1.6,.427,10.8,20.4,.529,5.0,5.7,.882,2.1,8.5,6.6,1.6,1.2,3.1,2.6,28.7
Otis Birdsong,NJN,1985,8.8,17.3,.511,0.1,0.4,.190,8.8,16.9,.518,2.9,4.6,.622,1.1,1.6,4.1,1.5,0.1,2.1,2.6,20.6
Rolando Blackman,DAL,1985,7.7,15.2,.508,0.1,0.2,.300,7.6,14.9,.512,4.2,5.1,.828,1.3,2.4,3.6,0.8,0.2,2.0,1.2,19.7
Cory Blackwell,SEA,1985,1.5,4.0,.367,0.0,0.0,.000,1.5,3.9,.370,0.5,0.9,.509,0.7,0.9,0.4,0.4,0.1,0.7,0.9,3.4
Sam Bowie,POR,1985,3.9,7.3,.537,0.0,0.0,,3.9,7.3,.537,2.1,3.0,.711,2.7,5.9,2.8,0.7,2.7,2.3,3.7,10.0
Dudley Bradley,WSB,1985,1.9,4.1,.475,0.3,0.9,.313,1.7,3.2,.519,0.7,1.1,.684,0.5,1.4,2.4,1.3,0.3,1.2,2.1,4.9
Mike Bratz,GSW,1985,1.9,4.5,.424,0.1,0.5,.231,1.8,4.0,.446,1.2,1.5,.841,0.2,0.8,2.2,0.8,0.1,1.0,1.4,5.1
Randy Breuer,MIL,1985,2.1,4.1,.511,0.0,0.0,,2.1,4.1,.511,1.1,1.6,.701,1.2,2.1,0.5,0.3,1.1,0.8,2.3,5.3
Ron Brewer,TOT,1985,3.1,5.9,.525,0.0,0.1,.000,3.1,5.8,.534,1.2,1.3,.920,0.5,0.6,0.9,0.3,0.3,0.5,1.2,7.4
Frank Brickowski,SEA,1985,1.9,3.9,.492,0.0,0.1,.000,1.9,3.9,.498,1.1,1.6,.669,1.0,2.4,1.3,0.4,0.2,1.3,2.2,4.9
Junior Bridgeman,LAC,1985,5.8,12.4,.465,0.2,0.5,.359,5.6,11.9,.469,2.3,2.6,.879,0.7,2.2,2.1,0.6,0.2,1.5,1.6,13.9
Rickey Brown,ATL,1985,1.1,2.8,.406,0.0,0.0,,1.1,2.8,.406,0.6,1.0,.574,1.1,2.1,0.4,0.3,0.3,0.7,1.7,2.8
Tony Brown,IND,1985,2.6,5.7,.460,0.0,0.1,.000,2.6,5.6,.466,1.4,2.1,.678,1.8,1.7,1.9,0.7,0.1,1.4,2.6,6.6
Wallace Bryant,DAL,1985,1.2,2.6,.453,0.0,0.0,,1.2,2.6,.453,0.5,0.8,.682,1.3,3.0,1.5,0.4,0.4,0.8,2.0,2.9
Quinn Buckner,BOS,1985,1.0,2.6,.383,0.0,0.0,.000,1.0,2.6,.385,0.4,0.7,.640,0.3,0.8,2.0,0.8,0.0,0.9,1.9,2.4
Steve Burtt,GSW,1985,1.5,4.0,.383,0.0,0.0,.000,1.5,4.0,.385,1.1,1.6,.688,0.2,0.4,0.4,0.4,0.1,0.7,1.6,4.2
Don Buse,KCK,1985,1.3,3.1,.404,0.5,1.3,.356,0.8,1.8,.440,0.4,0.5,.767,0.3,0.6,3.1,0.6,0.0,0.7,1.2,3.4
Michael Cage,LAC,1985,2.9,5.3,.543,0.0,0.0,,2.9,5.3,.543,1.3,1.8,.737,1.7,3.5,0.7,0.5,0.4,1.1,2.2,7.1
Tony Campbell,DET,1985,2.3,4.7,.496,0.0,0.0,.000,2.3,4.7,.498,1.0,1.3,.800,0.7,0.9,0.4,0.5,0.1,1.2,1.9,5.6
Rick Carlisle,BOS,1985,0.7,1.8,.388,0.0,0.1,.000,0.7,1.7,.400,0.4,0.4,.882,0.2,0.3,0.7,0.1,0.0,0.5,0.6,1.8
Antoine Carr,ATL,1985,3.2,6.0,.528,0.0,0.1,.333,3.2,6.0,.531,1.6,2.1,.789,1.3,2.5,1.3,0.5,1.3,1.7,3.5,8.0
Kenny Carr,POR,1985,4.0,7.6,.523,0.0,0.1,.000,4.0,7.5,.528,2.5,3.4,.720,1.9,4.9,1.2,0.5,0.4,2.1,2.9,10.4
M.L. Carr,BOS,1985,1.3,3.2,.416,0.2,0.5,.391,1.1,2.7,.421,0.4,0.4,1.000,0.4,0.5,0.5,0.4,0.1,0.5,0.9,3.2
Butch Carter,NYK,1985,3.1,6.9,.450,0.2,0.6,.256,2.9,6.3,.469,1.6,1.9,.813,0.5,0.9,2.4,0.8,0.1,1.6,2.2,7.9
Howard Carter,DAL,1985,0.4,2.1,.174,0.0,0.3,.000,0.4,1.8,.200,0.1,0.1,1.000,0.1,0.2,0.4,0.1,0.0,0.7,0.4,0.8
Harvey Catchings,LAC,1985,1.0,2.1,.483,0.0,0.0,.000,1.0,2.1,.486,0.8,1.3,.663,1.3,2.5,0.2,0.2,0.8,0.8,2.3,2.9
Ron Cavenall,NYK,1985,0.5,1.6,.326,0.0,0.0,,0.5,1.6,.326,0.4,0.7,.564,1.0,2.1,0.4,0.2,0.8,0.8,2.3,1.5
Tom Chambers,SEA,1985,7.8,16.1,.483,0.1,0.3,.273,7.7,15.8,.487,5.9,7.0,.832,2.0,5.1,2.6,0.9,0.7,3.2,3.9,21.5
Maurice Cheeks*,PHI,1985,5.4,9.5,.570,0.1,0.3,.231,5.3,9.2,.582,2.2,2.6,.879,0.7,2.1,6.4,2.2,0.3,2.0,2.4,13.1
Carlos Clark,BOS,1985,1.0,2.5,.421,0.0,0.1,.000,1.0,2.4,.435,0.7,0.9,.774,0.5,0.6,0.8,0.6,0.0,0.7,1.1,2.7
Don Collins,WSB,1985,1.1,3.1,.353,0.0,0.0,,1.1,3.1,.353,0.7,0.8,.889,0.9,0.8,0.6,0.6,0.4,0.7,0.5,2.9
Steve Colter,POR,1985,2.8,6.1,.453,0.3,0.9,.351,2.4,5.2,.471,1.3,1.7,.754,0.5,1.4,3.1,1.0,0.1,1.4,1.8,7.1
Lester Conner,GSW,1985,3.1,6.9,.451,0.1,0.3,.200,3.1,6.7,.460,1.8,2.4,.750,1.1,2.0,4.7,2.0,0.2,1.7,1.7,8.1
Darwin Cook,NJN,1985,3.7,7.8,.468,0.0,0.4,.087,3.6,7.4,.488,0.8,0.9,.870,0.4,1.2,2.8,1.3,0.2,1.3,1.7,8.2
Jeff Cook,TOT,1985,1.9,3.9,.495,0.0,0.0,.000,1.9,3.9,.496,0.7,0.9,.734,1.7,2.7,0.9,0.4,0.3,0.7,2.8,4.5
Joe Cooper,SEA,1985,2.3,5.0,.467,0.0,0.0,,2.3,5.0,.467,1.0,2.0,.500,1.0,2.0,0.7,0.7,0.3,0.0,2.3,5.7
Michael Cooper,LAL,1985,3.4,7.2,.465,0.4,1.5,.285,2.9,5.7,.513,1.4,1.6,.865,0.7,2.4,5.2,1.1,0.6,1.9,2.5,8.6
Wayne Cooper,DEN,1985,5.1,10.7,.472,0.0,0.0,.000,5.1,10.7,.473,2.0,2.9,.685,2.9,5.0,1.1,0.4,2.5,1.9,3.8,12.1
Dave Corzine,CHI,1985,3.4,6.9,.486,0.0,0.0,.000,3.4,6.9,.487,1.8,2.4,.745,1.6,3.6,1.7,0.4,0.8,1.5,2.3,8.5
Charlie Criss,ATL,1985,1.8,4.3,.412,0.0,0.5,.000,1.8,3.8,.467,1.0,1.5,.667,0.5,3.0,5.5,0.8,0.0,2.8,1.3,4.5
Pat Cummings,NYK,1985,6.5,12.7,.514,0.0,0.1,.000,6.5,12.6,.517,2.8,3.6,.780,2.2,6.0,1.7,0.8,0.3,2.6,3.9,15.8
Terry Cummings,MIL,1985,9.6,19.4,.495,0.0,0.0,.000,9.6,19.4,.496,4.3,5.9,.741,3.1,6.0,2.9,1.5,0.8,2.4,3.3,23.6
Earl Cureton,DET,1985,2.6,5.3,.484,0.0,0.0,.000,2.6,5.2,.487,1.0,1.8,.569,2.1,3.1,1.0,0.7,0.5,1.4,2.7,6.1
Quintin Dailey,CHI,1985,6.6,14.1,.473,0.1,0.4,.233,6.6,13.7,.479,2.6,3.2,.817,0.7,1.9,2.4,0.9,0.1,1.9,2.4,16.0
