FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,top_PTS,top_5_PTS,top_5_AST,top_5_DRB,top_5_ORB,top_5_stats_sum,Team,Year,Conf,made_playoff
2.2593814467466475,-0.18505641166073142,3.178803909396343,0.5494422557947564,0.48009814601216216,0.7096257334835488,2.1243145698578036,-0.33310076370659536,3.286960022521977,-0.7720757880107841,-0.9530574796603706,-0.00872089191071815,-0.992861111646967,1.2227369086890276,2.4463043418491863,-0.04713698943387359,0.46614307887229917,0.59304471182567,-0.7856296702951676,1.6903735097033528,1.7904614523606424,-0.5682544108781044,0.020258445267885304,2.113577617646247,0.28409244186808125,-1.8522357145578872,0.020258445267885304,Los Angeles Lakers,1985,West,1
0.8141475940758158,2.2891237454535807,-0.8152465497498337,-0.1434601082974648,0.3655042324142885,-1.4332160495070172,0.7498758083012389,0.9488540939278687,-0.3450368272980791,0.11313205025438516,0.33298505339992357,-0.5467894373513996,1.6377731952460903,-0.9308144664443403,-1.050227591197363,0.9156882125627734,-0.24226557718869787,-0.19527017469753014,-0.04826418647063591,0.6445012349921914,-1.0863259323100793,-0.36498138066877794,0.4121231374620106,-1.4999755417619616,-0.8255499084827157,0.8171888373977144,0.4121231374620106,Sacramento Kings,2012,West,0
0.6614214276731432,0.4617782686416667,0.31632817908121813,-0.04312960859842095,0.026191616689457718,-0.2211186365479965,0.6005018153664705,0.28032871920871155,0.3881948473651246,0.11302578293345389,-0.1328434538242503,0.5898991182231246,1.0289915108550525,0.9597808423778988,0.3754334066213237,-0.0261057159501574,0.3829258051187118,-1.1568401792024425,-1.4983026778839263,0.4901019319020271,1.2351622342568782,1.376422766262763,1.1428413905523425,-0.17207457277362567,1.8661310944618559,1.4213735042495392,1.1428413905523425,Los Angeles Lakers,2011,West,1
-1.25533234764783,-0.7442115791234208,-0.6723239730625477,-0.875921072397661,-0.7561940049782431,-0.7945744162332252,-0.40043771038627723,0.1169675959888483,-0.65629315679551,-0.7547142684895288,-0.5917509581230227,-0.3399538847401794,0.059808441289246,-1.0455592247151486,-1.0515852478412377,-0.8104710680304498,-0.3148319487257247,-0.04676954984014485,0.004604141353948695,-1.4540412418278268,-1.2601941636211524,-1.2322916885810096,-0.842136051574148,-0.145734972929667,-0.49606970181464943,0.36021502865821314,-0.842136051574148,Utah Jazz,2014,West,0
1.126483369005824,1.5095104748034167,-0.35092657366820496,1.2507586493542233,1.3066706548407254,0.556251570066049,-0.2374076944472131,-0.15422339871361004,-0.09453449650861324,0.9750868392055497,0.5147683835689795,1.4165093475803792,0.6859943405700345,0.4190592410382401,1.7092099827760239,-0.2871628754517372,-0.6160110777996721,-0.7532912794806604,-0.6255050014466869,1.5978665725025056,0.15439527928210936,0.8772499699015193,0.6717689410331293,0.16705049765614546,-0.33638414578282566,0.6365660479154378,0.6717689410331293,Houston Rockets,2011,West,0
-0.5547878775320262,-0.5140108653856597,-0.27271679429973006,-1.1617568273356786,-0.9074729926930414,-1.2665975695031078,-0.438907642239009,-0.3499207465479691,-0.31120915378656056,0.430039422935645,0.14136247914979835,0.9170095977855186,-0.9415464067024556,-0.32660860807443115,0.5093396695650643,-0.7017523943858126,-0.9546435960765516,-1.0718176362880343,-1.89726858381398,-0.3637158986612662,0.1088837458167774,-1.1486203716814878,0.25866531825080546,0.03299108486900854,0.07201664577075645,-0.3369229754565253,0.25866531825080546,Seattle SuperSonics,1984,West,1
1.5915453103384993,0.8886321304112682,0.8353040978863209,1.3869574133492382,1.3357724511623457,1.0744983744754126,-0.05785565662999502,-0.6143374059254822,1.051947695191514,-0.34674011374499764,-0.3819249297447238,-0.16156472664710686,-0.7717436331412901,-0.18925256046887962,1.6351112841007618,-0.9398057742056861,-0.782500558286069,0.05380651996290368,-0.3636656985155144,1.3712783505614976,-0.07719763964105573,-1.5631503678645613,-1.6394302644205088,0.8076200751346002,-1.9782591430561338,-1.9140581851703937,-1.6394302644205088,Phoenix Suns,2011,West,0
0.28031693199902935,-0.3916903048017966,0.5962118251686623,-2.1783110051172145,-2.439022318481894,-0.3102965553235854,2.183782397339099,1.750942410184261,-0.06924193856099628,-1.4376343722271527,-1.2231170431496812,-0.5425754054462445,0.4904292185718139,-0.6622584906036879,-0.06572407799007682,0.01573730229185483,-0.16725447276054148,-1.0181371234431214,-1.1003897835941527,-1.187910565286961,0.708859217036897,-0.9229297583933088,-1.2487468060895623,-0.527421806793075,-0.7420546779210876,0.4273358414516697,-1.2487468060895623,Memphis Grizzlies,2014,West,1
0.43686299029707837,0.05850669952222488,0.6074476126087893,-0.1053802289704099,0.052742014797440985,0.013845346864626872,0.47594788238718067,0.037085555978029046,0.6356788735227276,1.7295323852318505,1.6434129593102738,0.32786740287782107,-0.02779879766559519,-0.8209349934380225,0.287851817026274,1.7831888269227445,-0.7586021567169393,0.5684514231784334,0.8722323895485516,1.0717383432553396,-0.08681037921649506,0.4898691305726772,0.021753923197399765,-0.6030352394471961,0.5472121536029063,0.20424906945423513,0.021753923197399765,Portland Trail Blazers,1986,West,1
1.0886153433889398,2.6081670787012143,-1.1302756572919719,-0.1053802289704099,0.31268480201340376,-0.6605044886594815,1.1530696119689448,2.4538276205463916,-1.0257545459116677,0.3261940319501036,-0.32793727986236515,1.5975171925934715,0.7029124552586634,-0.7542158950313979,0.038957388770475845,1.366809709976317,-0.11536346162054828,-1.1597715817720926,0.6143744851832986,1.0058293007556802,0.5208622752989696,1.9269852024057874,0.8222982968617567,-0.5135525910130965,-1.1227589171011072,-0.5907511547291774,0.8222982968617567,Denver Nuggets,1986,West,1
